"","gene","distance","Z","FC","p.value","p.adj"
"1791","Rtkn2",5.41790833178818e-08,2.80524759627471,33.4549896045594,7.29324308860925e-09,1.02105367092064e-06
"171","Depdc1b",5.41790832679867e-08,2.80524759608818,33.45498954294,7.29324331967636e-09,1.02105367092064e-06
"42","Hist1h3g",5.41381481462932e-08,2.80509450018291,33.4044546638937,7.48523184280373e-09,1.02105367092064e-06
"2543","E2f8",5.30313812175106e-08,2.80091138180187,32.0526152923263,1.50052954646776e-08,1.95770668149218e-06
"2206","Ogdhl",5.29630719398513e-08,2.80065038829706,31.9700950631724,1.56564346403906e-08,1.95770668149218e-06
"2680","Ncapg",5.12702301943581e-08,2.79407413754526,29.9590562594405,4.41266105409392e-08,5.29695832933434e-06
"1555","Orm1",5.01715123507242e-08,2.78969032481098,28.6887732994795,8.49950441301997e-08,9.81038951672036e-06
"1706","Hist1h2ag",4.60100630789035e-08,2.77218137571,24.1269959425014,9.0187079629736e-07,0.000100241268877347
"2644","Sgol2a",4.24928694240638e-08,2.75611943365587,20.5792579739096,5.72126496560486e-06,0.000613197005777864
"2913","Esco2",4.08525110637942e-08,2.74817464926656,19.0210771195771,1.29282500236765e-05,0.00133785097658804
"2671","Neil3",3.81644377828235e-08,2.7344490796173,16.6002768794469,4.61442843366015e-05,0.00461596657647137
"1881","Kif4",3.76825624990076e-08,2.73188814679558,16.1837235075722,5.74859357370722e-05,0.00556500945635335
"1149","Mpo",3.24126274979985e-08,2.70156066189772,11.9736365143377,0.00053958534722514,0.0506029883444577
